FIPS,County,Year,Variable,Value,geo_point_2d,geo_shape
37001,Alamance,2014,Federal Outdoor Recreation Acreage,0,"36.04371740098476, -79.39942697079384",
37001,Alamance,2014,Local Outdoor Recreation Acreage,2376,"36.04371740098476, -79.39942697079384",
37001,Alamance,2014,State Outdoor Recreation Acreage,336,"36.04371740098476, -79.39942697079384",
37003,Alexander,2014,Federal Outdoor Recreation Acreage,0,"35.921109183192684, -81.17703542410823",
37003,Alexander,2014,Local Outdoor Recreation Acreage,376,"35.921109183192684, -81.17703542410823",
37003,Alexander,2014,State Outdoor Recreation Acreage,0,"35.921109183192684, -81.17703542410823",
37005,Alleghany,2014,Federal Outdoor Recreation Acreage,5631,"36.491273773391946, -81.12785451734212",
37005,Alleghany,2014,Local Outdoor Recreation Acreage,74,"36.491273773391946, -81.12785451734212",
37005,Alleghany,2014,State Outdoor Recreation Acreage,5927,"36.491273773391946, -81.12785451734212",
37007,Anson,2014,Federal Outdoor Recreation Acreage,7635,"34.973793600074686, -80.10271347709553",
37007,Anson,2014,Local Outdoor Recreation Acreage,236,"34.973793600074686, -80.10271347709553",
37007,Anson,2014,State Outdoor Recreation Acreage,6,"34.973793600074686, -80.10271347709553",
37009,Ashe,2014,Federal Outdoor Recreation Acreage,2077,"36.43443169004714, -81.50052395965882",
37009,Ashe,2014,Local Outdoor Recreation Acreage,102,"36.43443169004714, -81.50052395965882",
37009,Ashe,2014,State Outdoor Recreation Acreage,9131,"36.43443169004714, -81.50052395965882",
37011,Avery,2014,Federal Outdoor Recreation Acreage,32494,"36.07661185792713, -81.92260553326534",
37011,Avery,2014,Local Outdoor Recreation Acreage,74,"36.07661185792713, -81.92260553326534",
37011,Avery,2014,State Outdoor Recreation Acreage,4791,"36.07661185792713, -81.92260553326534",
37013,Beaufort,2014,Federal Outdoor Recreation Acreage,2801,"35.48688258244973, -76.84505335352158",
37013,Beaufort,2014,Local Outdoor Recreation Acreage,196,"35.48688258244973, -76.84505335352158",
37013,Beaufort,2014,State Outdoor Recreation Acreage,8356,"35.48688258244973, -76.84505335352158",
37015,Bertie,2014,Federal Outdoor Recreation Acreage,20960,"36.065637478553306, -76.96671440491589",
37015,Bertie,2014,Local Outdoor Recreation Acreage,27,"36.065637478553306, -76.96671440491589",
37015,Bertie,2014,State Outdoor Recreation Acreage,9665,"36.065637478553306, -76.96671440491589",
37017,Bladen,2014,Federal Outdoor Recreation Acreage,0,"34.61459364075366, -78.56365077964345",
37017,Bladen,2014,Local Outdoor Recreation Acreage,116,"34.61459364075366, -78.56365077964345",
37017,Bladen,2014,State Outdoor Recreation Acreage,51680,"34.61459364075366, -78.56365077964345",
37019,Brunswick,2014,Federal Outdoor Recreation Acreage,9955,"34.070862416149765, -78.23739863182342",
37019,Brunswick,2014,Local Outdoor Recreation Acreage,2156,"34.070862416149765, -78.23739863182342",
37019,Brunswick,2014,State Outdoor Recreation Acreage,36382,"34.070862416149765, -78.23739863182342",
37021,Buncombe,2014,Federal Outdoor Recreation Acreage,42391,"35.61121599775333, -82.53011033859494",
37021,Buncombe,2014,Local Outdoor Recreation Acreage,1916,"35.61121599775333, -82.53011033859494",
37021,Buncombe,2014,State Outdoor Recreation Acreage,2237,"35.61121599775333, -82.53011033859494",
37023,Burke,2014,Federal Outdoor Recreation Acreage,62563,"35.749617372965254, -81.70476796207612",
37023,Burke,2014,Local Outdoor Recreation Acreage,838,"35.749617372965254, -81.70476796207612",
37023,Burke,2014,State Outdoor Recreation Acreage,30592,"35.749617372965254, -81.70476796207612",
37025,Cabarrus,2014,Federal Outdoor Recreation Acreage,0,"35.386801398071256, -80.5518497115404",
37025,Cabarrus,2014,Local Outdoor Recreation Acreage,861,"35.386801398071256, -80.5518497115404",
