FIPS,State,County,FFR16,FFRPTH16,FSR16,FSRPTH11,FSRPTH16,PCH_FSRPTH_11_16,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12
37001,NC,Alamance,129,0.809665777,125,0.739253027,0.784559862,6.128731693,746.0213064,644.8528184,665.1112958,642.7799577
37003,NC,Alexander,15,0.402468473,19,0.59396852,0.5097934,-14.17164671,746.0213064,644.8528184,665.1112958,642.7799577
37005,NC,Alleghany,5,0.456829603,13,0.816326531,1.187756967,45.50022842,746.0213064,644.8528184,665.1112958,642.7799577
37007,NC,Anson,15,0.59715753,10,0.45253988,0.39810502,-12.02874318,746.0213064,644.8528184,665.1112958,642.7799577
37009,NC,Ashe,19,0.71017418,23,0.740521327,0.859684533,16.09179936,746.0213064,644.8528184,665.1112958,642.7799577
37011,NC,Avery,12,0.685714286,28,1.52301444,1.6,5.054814815,746.0213064,644.8528184,665.1112958,642.7799577
37013,NC,Beaufort,35,0.739004666,37,0.629419046,0.781233504,24.11977506,746.0213064,644.8528184,665.1112958,642.7799577
37015,NC,Bertie,12,0.616998303,3,0.239693193,0.154249576,-35.64707697,746.0213064,644.8528184,665.1112958,642.7799577
37017,NC,Bladen,27,0.798911114,14,0.343642612,0.414250207,20.54681027,746.0213064,644.8528184,665.1112958,642.7799577
37019,NC,Brunswick,97,0.767690518,118,1.052278273,0.933891558,-11.25051409,746.0213064,644.8528184,665.1112958,642.7799577
37021,NC,Buncombe,243,0.951694643,292,1.065399794,1.143600147,7.340000748,746.0213064,644.8528184,665.1112958,642.7799577
37023,NC,Burke,56,0.630616428,45,0.453088739,0.506745344,11.84240522,746.0213064,644.8528184,665.1112958,642.7799577
37025,NC,Cabarrus,160,0.7937571,133,0.695256804,0.65981059,-5.098290831,746.0213064,644.8528184,665.1112958,642.7799577
37027,NC,Caldwell,54,0.660251629,40,0.473036897,0.489075281,3.390514385,746.0213064,644.8528184,665.1112958,642.7799577
37029,NC,Camden,2,0.191883335,3,0.199541056,0.287825002,44.24349995,746.0213064,644.8528184,665.1112958,642.7799577
37031,NC,Carteret,62,0.90044296,104,1.527600629,1.510420449,-1.124651283,746.0213064,644.8528184,665.1112958,642.7799577
37033,NC,Caswell,6,0.263829039,5,0.298151461,0.219857532,-26.25978366,746.0213064,644.8528184,665.1112958,642.7799577
37035,NC,Catawba,134,0.855426532,126,0.828151992,0.804356292,-2.873349394,746.0213064,644.8528184,665.1112958,642.7799577
37037,NC,Chatham,35,0.501260312,41,0.561106002,0.587190651,4.648791565,746.0213064,644.8528184,665.1112958,642.7799577
37039,NC,Cherokee,21,0.753147079,27,0.88309968,0.968331959,9.651490155,746.0213064,644.8528184,665.1112958,642.7799577
37041,NC,Chowan,9,0.632022472,8,0.674718305,0.561797753,-16.73595506,746.0213064,644.8528184,665.1112958,642.7799577
37043,NC,Clay,5,0.462149921,12,0.748362956,1.109159811,48.2114798,746.0213064,644.8528184,665.1112958,642.7799577
37045,NC,Cleveland,64,0.659100739,55,0.67737466,0.566414698,-16.38088471,746.0213064,644.8528184,665.1112958,642.7799577
37047,NC,Columbus,46,0.816543889,29,0.51999376,0.514777669,-1.003106417,746.0213064,644.8528184,665.1112958,642.7799577
37049,NC,Craven,73,0.709723208,68,0.65793865,0.661112029,0.482321523,746.0213064,644.8528184,665.1112958,642.7799577
