FIPS,State,County,GROC16,SUPERC16,PCH_SUPERC_11_16,SUPERCPTH16,PCH_SUPERCPTH_11_16,CONVS16,PCH_CONVS_11_16,CONVSPTH16,PCH_CONVSPTH_11_16,SPECS16,PCH_SPECS_11_16,SPECSPTH16,PCH_SPECSPTH_11_16,SNAPS17,PCH_SNAPS_12_17,WICS16,PCH_WICS_11_16,WICSPTH16,PCH_WICSPTH_11_16
37001,NC,Alamance,29,4,-20,0.0251059,-23.24770124,81,0,0.508394791,-4.05962655,8,0,0.0502118,-4.05962655,142.5833333,12.19672131,38,35.7142868,0.2369195521,29.20239067
37003,NC,Alexander,3,1,0,0.0268312,-0.619801449,12,-7.692307692,0.321974779,-8.264432107,1,0,0.0268312,-0.619801449,29.66666667,32.8358209,4,0,0.1076947898,-0.3069304228
37005,NC,Alleghany,3,0,0,0,0,7,0,0.639561444,0.730927364,1,,0.091365921,,10.41666667,-16.66666667,3,-40,0.274574399,-39.50027847
37007,NC,Anson,2,1,0,0.0398105,5.565508181,17,-10.52631579,0.676778534,-5.546650575,3,0,0.119431506,5.565508181,30.25,-15.97222222,9,-18.18181801,0.3573981524,-13.87354183
37009,NC,Ashe,4,1,0,0.0373776,0.949390745,17,13.33333333,0.635419003,14.40930951,3,0,0.112132765,0.949390745,19.58333333,5.855855856,7,0,0.2630491257,1.401684523
37011,NC,Avery,4,0,0,0,0,12,0,0.685714286,1.302857143,0,-100,0,-100,15.5,21.56862745,7,16.66666603,0.4017677903,18.70898819
37013,NC,Beaufort,9,1,0,0.0211144,0.637655455,30,-11.76470588,0.633432571,-11.20206872,4,33.33333333,0.084457676,34.18354061,54.66666667,22.61682243,9,0,0.1899936646,0.6016487479
37015,NC,Bertie,4,0,0,0,0,10,-9.090909091,0.514165253,-2.495571167,2,,0.102833051,,23.66666667,-13.41463415,3,-57.1428566,0.1543845236,-54.0066452
37017,NC,Bladen,6,0,0,0,0,22,0,0.650964611,3.325837377,0,0,0,0,39.16666667,3.752759382,6,-14.28571415,0.1780204177,-11.26445293
37019,NC,Brunswick,22,3,0,0.023743,-12.75474267,45,-4.255319149,0.356145086,-16.46730681,14,-6.666666667,0.110800693,-18.57109315,110.25,19.08190819,27,8,0.21377334,-5.796927929
37021,NC,Buncombe,56,5,25,0.0195822,18.09238096,113,-13.74045802,0.442557591,-18.50724245,26,62.5,0.10182741,53.52009525,206.8333333,10.8530594,44,7.317073345,0.1725571454,1.492218971
37023,NC,Burke,16,0,0,0,0,49,-3.921568627,0.551789374,-2.095253993,5,66.66666667,0.056305,69.83476348,100.25,1.949152542,20,-9.090909004,0.2236185968,-7.983994961
37025,NC,Cabarrus,31,6,-14.28571429,0.0297659,-22.93695797,73,-10.97560976,0.362151677,-19.96094618,16,6.666666667,0.07937571,-4.099325472,151.1666667,16.05886116,46,35.29411697,0.2283218354,21.63778877
37027,NC,Caldwell,11,2,100,0.0244538,101.6115031,43,-4.444444444,0.525755927,-3.674504098,0,-100,0,-100,79.66666667,-11.97053407,15,0,0.1834480911,0.8230708241
37029,NC,Camden,0,0,0,0,0,6,20,0.575650005,15.39479996,0,0,0,0,6.916666667,72.91666667,1,0,0.09613535553,-3.653148651
37031,NC,Carteret,14,1,0,0.0145233,-2.07537579,43,-2.272727273,0.624500762,-4.300935431,9,0,0.130709462,-2.07537579,63.08333333,15.22070015,14,-17.64705849,0.2034558356,-19.3297596
37033,NC,Caswell,3,0,0,0,0,17,0,0.74751561,3.236302876,0,-100,0,-100,20.08333333,-5.118110236,5,25,0.2196354121,28.79969597
37035,NC,Catawba,35,3,0,0.0191513,-1.331656527,87,-4.395604396,0.555388868,-5.66872657,9,125,0.057454,122.0037728,181.5833333,3.910348116,41,20.58823586,0.2620293796,19.05690384
37037,NC,Chatham,13,2,100,0.0286434,83.77348763,34,-8.108108108,0.486938588,-15.56353271,1,0,0.0143217,-8.113256187,44.41666667,-1.113172542,16,45.45454407,0.2297332287,33.87599945
37039,NC,Cherokee,5,1,0,0.0358641,-2.532008751,15,7.142857143,0.537962199,4.429990624,2,,0.071728293,,23.75,8.365019011,7,0,0.2517532706,-2.272975445
